#15 Deg,XS (cm2),30 Deg,XS (cm2),45 Deg,XS (cm2),60 Deg,XS (cm2),75 Deg,XS (cm2),90 Deg,XS (cm2),105 Deg,XS (cm2),120 Deg,XS (cm2),135 Deg,XS (cm2),150 Deg,XS (cm2),165 Deg,XS (cm2)
0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
1.085,1.47E-46,2.65,3.67E-46,2.171,2.94E-46,2.011,2.20E-46,2.106,2.20E-46,2.489,3.67E-46,1.659,1.47E-46,2.265,2.20E-46,1.691,2.20E-46,1.372,7.35E-47,1.755,2.94E-46
3.478,4.41E-46,4.406,9.55E-46,3.64,6.61E-46,3.448,7.35E-46,3.35,6.61E-46,3.893,1.03E-45,2.967,5.14E-46,4.276,1.62E-45,2.489,4.41E-46,2.234,2.94E-46,2.361,3.67E-46
4.212,7.35E-46,6.098,1.54E-45,5.045,1.18E-45,5.109,1.40E-45,4.914,1.40E-45,5.329,2.06E-45,4.244,1.32E-45,5.616,3.09E-45,3.51,1.10E-45,3.255,8.82E-46,3.318,1.03E-45
4.978,9.55E-46,7.28,1.98E-45,6.354,1.76E-45,6.13,1.98E-45,5.967,2.06E-45,6.509,3.23E-45,5.616,2.72E-45,6.509,4.33E-45,4.531,1.98E-45,4.34,1.76E-45,4.786,2.35E-45
5.807,1.25E-45,8.493,2.79E-45,7.695,2.72E-45,6.992,2.65E-45,6.605,2.72E-45,7.786,4.85E-45,6.796,4.11E-45,7.339,5.73E-45,5.584,3.31E-45,5.424,3.01E-45,5.967,4.11E-45
6.701,1.54E-45,9.994,3.89E-45,9.163,3.97E-45,8.269,3.97E-45,7.275,3.53E-45,9.317,7.64E-45,7.849,5.88E-45,8.041,7.13E-45,6.765,5.29E-45,6.286,4.41E-45,7.02,6.24E-45
7.371,1.76E-45,11.143,5.00E-45,10.728,5.73E-45,9.259,5.07E-45,8.488,5.00E-45,10.976,1.14E-44,8.807,7.79E-45,9.03,9.62E-45,7.53,7.05E-45,7.116,6.17E-45,8.009,8.67E-45
8.009,2.13E-45,12.58,6.39E-45,12.484,7.93E-45,10.121,6.24E-45,9.732,7.05E-45,12.221,1.47E-44,10.051,1.08E-44,10.051,1.23E-44,8.424,9.11E-45,8.073,8.74E-45,8.807,1.10E-44
8.711,2.57E-45,13.538,7.35E-45,13.729,9.62E-45,11.047,7.64E-45,10.881,9.18E-45,13.146,1.75E-44,11.615,1.53E-44,11.04,1.55E-44,9.158,1.11E-44,9.253,1.22E-44,9.509,1.34E-44
9.445,3.01E-45,14.464,8.30E-45,15.709,1.25E-44,12.644,1.04E-44,11.806,1.11E-44,14.103,2.04E-44,12.668,1.89E-44,11.742,1.82E-44,9.764,1.28E-44,10.274,1.59E-44,10.115,1.58E-44
10.083,3.45E-45,15.358,9.33E-45,16.794,1.41E-44,13.857,1.26E-44,13.242,1.43E-44,14.773,2.28E-44,13.114,2.07E-44,12.476,2.14E-44,10.243,1.46E-44,11.136,1.95E-44,10.721,1.82E-44
10.657,3.82E-45,16.315,1.03E-44,18.008,1.57E-44,14.783,1.44E-44,14.773,1.84E-44,15.603,2.57E-44,14.422,2.60E-44,13.178,2.43E-44,10.721,1.61E-44,11.966,2.34E-44,11.264,2.08E-44
11.327,4.33E-45,17.305,1.12E-44,19.221,1.70E-44,16.252,1.75E-44,15.954,2.16E-44,16.879,3.04E-44,15.444,3.04E-44,13.976,2.79E-44,11.072,1.77E-44,12.444,2.57E-44,11.615,2.25E-44
11.87,4.70E-45,18.231,1.20E-44,20.083,1.76E-44,17.497,2.00E-44,17.007,2.46E-44,18.124,3.45E-44,16.401,3.47E-44,14.614,3.11E-44,11.997,2.16E-44,13.082,2.89E-44,12.029,2.44E-44
12.54,5.29E-45,18.902,1.25E-44,20.913,1.81E-44,18.359,2.15E-44,17.709,2.64E-44,18.89,3.70E-44,17.135,3.80E-44,15.412,3.51E-44,12.731,2.51E-44,13.944,3.37E-44,12.476,2.70E-44
13.146,5.80E-45,19.636,1.28E-44,21.616,1.83E-44,19.157,2.27E-44,18.22,2.77E-44,18.89,3.70E-44,17.964,4.12E-44,16.146,3.92E-44,13.242,2.76E-44,14.614,3.77E-44,13.05,3.02E-44
13.816,6.24E-45,20.402,1.32E-44,22.126,1.82E-44,20.115,2.40E-44,18.794,2.91E-44,19.751,3.92E-44,19.177,4.57E-44,16.911,4.31E-44,13.912,3.09E-44,15.475,4.32E-44,13.593,3.33E-44
14.486,6.83E-45,21.073,1.32E-44,22.637,1.80E-44,20.881,2.47E-44,19.368,3.02E-44,20.485,4.07E-44,19.815,4.79E-44,17.773,4.74E-44,14.422,3.38E-44,16.465,4.99E-44,14.071,3.62E-44
15.093,7.27E-45,22.158,1.32E-44,23.116,1.76E-44,21.36,2.50E-44,19.911,3.13E-44,21.091,4.16E-44,20.421,4.94E-44,18.602,5.11E-44,14.805,3.59E-44,17.23,5.46E-44,14.71,4.03E-44
15.763,7.86E-45,22.861,1.29E-44,23.595,1.71E-44,21.903,2.51E-44,20.421,3.20E-44,21.857,4.22E-44,20.996,5.05E-44,19.336,5.41E-44,15.444,3.97E-44,17.837,5.83E-44,15.38,4.47E-44
16.401,8.37E-45,23.563,1.23E-44,24.01,1.65E-44,22.765,2.48E-44,20.9,3.26E-44,22.304,4.22E-44,21.506,5.13E-44,19.847,5.61E-44,15.922,4.24E-44,18.539,6.22E-44,15.986,4.89E-44
17.007,8.82E-45,24.074,1.18E-44,24.489,1.57E-44,23.34,2.41E-44,21.506,3.31E-44,22.782,4.20E-44,22.08,5.15E-44,20.517,5.80E-44,16.656,4.69E-44,19.177,6.55E-44,16.528,5.27E-44
17.613,9.18E-45,24.649,1.10E-44,24.872,1.51E-44,23.787,2.34E-44,22.049,3.32E-44,23.133,4.12E-44,22.687,5.14E-44,21.347,5.97E-44,17.135,4.97E-44,19.911,6.89E-44,17.262,5.75E-44
18.347,9.55E-45,25.192,1.07E-44,25.511,1.44E-44,24.361,2.19E-44,22.495,3.31E-44,23.676,4.03E-44,23.038,5.08E-44,21.825,6.03E-44,17.709,5.28E-44,20.389,7.08E-44,17.805,6.10E-44
19.081,9.92E-45,25.798,1.02E-44,26.181,1.37E-44,24.777,2.09E-44,22.846,3.28E-44,24.027,3.91E-44,23.452,4.97E-44,22.655,6.02E-44,18.251,5.57E-44,20.772,7.21E-44,18.443,6.49E-44
19.783,1.01E-44,26.309,9.84E-45,26.82,1.30E-44,25.575,1.97E-44,23.229,3.23E-44,24.442,3.75E-44,23.803,4.90E-44,23.101,5.93E-44,18.698,5.79E-44,21.283,7.32E-44,19.017,6.80E-44
20.613,1.02E-44,26.788,9.55E-45,27.554,1.20E-44,26.373,1.84E-44,23.772,3.13E-44,24.856,3.57E-44,24.123,4.75E-44,23.644,5.79E-44,19.113,5.99E-44,21.761,7.41E-44,19.368,7.00E-44
21.187,1.03E-44,27.267,9.11E-45,28.384,1.07E-44,26.98,1.76E-44,24.314,2.96E-44,25.399,3.42E-44,24.442,4.59E-44,23.931,5.67E-44,19.56,6.21E-44,22.304,7.41E-44,19.911,7.24E-44
21.921,1.02E-44,27.778,8.67E-45,28.863,9.99E-45,27.554,1.63E-44,24.825,2.79E-44,25.973,3.27E-44,24.761,4.42E-44,24.218,5.50E-44,19.974,6.35E-44,22.719,7.40E-44,20.23,7.38E-44
22.559,9.99E-45,28.257,8.15E-45,29.566,8.67E-45,28.48,1.44E-44,25.59,2.63E-44,26.611,3.12E-44,25.367,4.22E-44,24.442,5.37E-44,20.389,6.49E-44,22.974,7.31E-44,20.708,7.57E-44
23.165,9.62E-45,28.736,7.57E-45,30.428,7.05E-45,28.959,1.34E-44,26.516,2.44E-44,27.122,2.98E-44,26.197,3.97E-44,24.92,5.15E-44,20.836,6.64E-44,23.357,7.19E-44,21.347,7.69E-44
23.803,9.11E-45,29.215,6.98E-45,30.875,6.24E-45,29.821,1.10E-44,27.09,2.32E-44,27.632,2.81E-44,26.835,3.78E-44,25.399,4.97E-44,21.315,6.73E-44,23.676,7.10E-44,21.761,7.78E-44
24.346,8.67E-45,29.63,6.47E-45,31.418,5.58E-45,30.332,9.62E-45,27.951,2.08E-44,28.175,2.63E-44,27.505,3.53E-44,25.909,4.76E-44,21.761,6.80E-44,23.867,6.99E-44,22.655,7.77E-44
24.856,8.15E-45,30.14,5.88E-45,32.184,4.85E-45,30.907,8.08E-45,28.749,1.85E-44,28.717,2.42E-44,28.334,3.19E-44,26.324,4.63E-44,22.559,6.80E-44,24.123,6.82E-44,23.07,7.66E-44
25.526,8.01E-45,30.556,5.22E-45,32.918,4.11E-45,31.45,7.35E-45,29.547,1.57E-44,29.1,2.23E-44,28.781,2.98E-44,26.93,4.43E-44,22.974,6.72E-44,24.314,6.69E-44,23.484,7.52E-44
26.037,7.86E-45,30.907,4.78E-45,33.716,3.75E-45,32.088,6.39E-45,30.153,1.32E-44,29.898,1.82E-44,29.26,2.66E-44,27.537,4.18E-44,23.612,6.54E-44,24.537,6.55E-44,23.676,7.47E-44
26.579,7.49E-45,31.386,4.41E-45,34.674,3.38E-45,32.854,5.44E-45,30.791,1.10E-44,30.696,1.46E-44,29.866,2.24E-44,27.951,3.98E-44,23.867,6.43E-44,24.825,6.38E-44,23.867,7.35E-44
27.218,7.13E-45,31.928,3.97E-45,35.728,2.79E-45,33.557,5.00E-45,31.206,9.99E-45,31.047,1.30E-44,30.44,1.91E-44,28.494,3.68E-44,24.186,6.24E-44,25.112,6.23E-44,24.154,7.15E-44
27.888,6.76E-45,32.567,3.53E-45,36.558,2.13E-45,34.515,4.41E-45,31.78,8.96E-45,31.749,1.15E-44,30.951,1.62E-44,28.973,3.39E-44,24.633,5.94E-44,25.463,6.08E-44,24.378,6.99E-44
28.366,6.39E-45,33.174,3.09E-45,37.548,1.69E-45,35.696,3.53E-45,32.578,7.64E-45,32.259,1.04E-44,31.749,1.42E-44,29.387,3.06E-44,25.112,5.74E-44,25.814,5.92E-44,24.633,6.83E-44
28.941,6.02E-45,33.844,2.94E-45,38.027,1.32E-45,36.558,2.72E-45,32.961,6.83E-45,32.897,8.96E-45,32.387,1.24E-44,30.121,2.48E-44,25.75,5.47E-44,26.228,5.76E-44,24.729,6.74E-44
29.515,5.36E-45,34.515,2.79E-45,39.527,1.32E-45,37.292,1.98E-45,33.727,6.32E-45,33.44,8.30E-45,32.865,1.10E-44,30.823,1.99E-44,26.452,5.20E-44,26.611,5.62E-44,25.048,6.59E-44
30.057,4.78E-45,35.121,2.57E-45,41.89,1.32E-45,37.899,1.40E-45,34.652,5.58E-45,34.142,7.57E-45,34.397,9.11E-45,31.078,1.88E-44,26.899,5.05E-44,27.122,5.41E-44,25.399,6.44E-44
30.504,4.41E-45,35.696,2.28E-45,45.211,1.18E-45,38.378,1.32E-45,35.673,4.48E-45,34.812,6.91E-45,34.971,8.30E-45,31.876,1.63E-44,27.345,4.85E-44,27.473,5.22E-44,25.75,6.24E-44
30.983,3.97E-45,36.239,1.91E-45,48.116,8.08E-46,40.773,1.32E-45,36.694,3.01E-45,35.578,5.88E-45,35.96,6.24E-45,32.546,1.40E-44,27.888,4.61E-44,27.696,5.11E-44,26.101,6.13E-44
31.557,3.53E-45,36.75,1.76E-45,51.98,2.20E-46,43.87,1.18E-45,37.396,2.20E-45,36.248,4.63E-45,36.886,4.11E-45,32.993,1.27E-44,28.334,4.30E-44,27.92,4.99E-44,26.42,5.99E-44
32.291,3.16E-45,37.197,1.69E-45,53,0.00E+00,47.19,1.03E-45,37.779,1.62E-45,36.854,3.45E-45,37.524,2.35E-45,33.886,1.15E-44,28.813,4.00E-44,28.43,4.62E-44,26.707,5.88E-44
33.153,2.87E-45,37.676,1.62E-45,,,49.361,5.88E-46,38.194,1.40E-45,37.364,2.50E-45,38.003,1.32E-45,35.003,9.70E-45,29.228,3.63E-44,28.749,4.42E-44,27.122,5.69E-44
34.11,2.57E-45,38.091,1.32E-45,,,51.916,2.94E-46,38.194,1.40E-45,37.875,1.40E-45,40.683,1.32E-45,35.833,7.64E-45,29.706,3.18E-44,29.068,4.17E-44,27.473,5.50E-44
35.003,2.28E-45,38.761,1.32E-45,,,53,0.00E+00,38.8,1.32E-45,39.407,1.32E-45,42.757,1.25E-45,36.343,6.17E-45,30.281,2.68E-44,29.483,3.75E-44,27.824,5.33E-44
36.088,2.06E-45,39.464,1.32E-45,,,,,39.981,1.32E-45,41.13,1.32E-45,45.756,1.03E-45,36.981,4.26E-45,30.6,2.43E-44,29.898,3.36E-44,28.079,5.16E-44
36.662,1.84E-45,40.262,1.25E-45,,,,,42.214,1.32E-45,43.172,1.32E-45,47.894,8.08E-46,37.492,2.35E-45,30.823,2.25E-44,30.313,2.98E-44,28.462,4.87E-44
37.524,1.69E-45,41.284,1.25E-45,,,,,42.214,1.32E-45,45.948,1.10E-45,49.394,5.88E-46,38.003,1.32E-45,31.047,2.13E-44,30.632,2.70E-44,28.781,4.63E-44
38.066,1.25E-45,42.561,1.25E-45,,,,,44.895,1.18E-45,48.756,6.61E-46,51.978,2.20E-46,39.917,1.40E-45,31.717,1.91E-44,30.951,2.50E-44,29.068,4.37E-44
38.832,1.32E-45,43.455,1.25E-45,,,,,47.479,8.82E-46,51.978,1.47E-46,53,0.00E+00,42.438,1.25E-45,32.387,1.67E-44,31.493,2.30E-44,29.387,4.01E-44
40.268,1.25E-45,44.413,1.32E-45,,,,,49.872,5.14E-46,53,0.00E+00,,,45.022,1.18E-45,32.833,1.48E-44,31.94,2.12E-44,29.675,3.68E-44
42.342,1.32E-45,45.53,1.10E-45,,,,,51.946,1.47E-46,,,,,47.256,9.55E-46,32.993,1.45E-44,32.323,1.95E-44,30.057,3.32E-44
