#Excitation Energy (MeV),J,Parity,20 MeV XS (cm2),40 MeV XS (cm2),60 MeV XS (cm2)
0.00,0,-1,1.301E-45,3.591E-44,1.325E-43
0.25,1,-1,3.131E-45,9.982E-43,6.925E-42
0.30,2,-1,3.258E-44,4.454E-42,3.124E-41
0.34,3,-1,0.000E+00,3.929E-45,2.300E-43
3.76,1,1,2.183E-46,4.431E-44,8.120E-44
4.51,2,-1,0.000E+00,9.302E-44,5.906E-43
4.52,1,1,0.000E+00,3.134E-44,8.956E-44
5.66,1,-1,0.000E+00,1.217E-42,1.117E-41
5.78,1,1,0.000E+00,5.961E-44,2.386E-43
6.71,2,-1,0.000E+00,3.047E-43,3.708E-42
7.03,1,1,0.000E+00,5.535E-44,1.822E-43
7.57,2,-1,0.000E+00,4.239E-42,4.243E-41
8.06,1,1,0.000E+00,3.773E-44,1.409E-43
8.37,1,-1,0.000E+00,1.075E-42,9.878E-42
9.52,1,1,0.000E+00,5.888E-44,2.832E-43
9.95,1,1,0.000E+00,1.614E-45,6.127E-45
10.61,1,-1,0.000E+00,3.241E-43,8.956E-42
10.81,1,-1,0.000E+00,9.220E-45,1.735E-43
11.69,1,1,0.000E+00,3.591E-44,2.217E-43
11.82,1,-1,0.000E+00,1.210E-44,2.764E-43
12.31,1,-1,0.000E+00,8.667E-45,2.190E-43
12.35,2,-1,0.000E+00,5.203E-44,8.322E-43
12.51,1,1,0.000E+00,2.509E-44,1.462E-43
12.67,0,-1,0.000E+00,1.953E-43,1.117E-42
12.90,1,1,0.000E+00,3.964E-44,2.600E-43
12.92,2,-1,0.000E+00,2.237E-43,3.800E-42
13.08,0,-1,0.000E+00,7.329E-43,4.295E-42
13.18,1,1,0.000E+00,3.964E-44,7.010E-43
13.20,2,-1,0.000E+00,2.702E-44,4.191E-43
13.24,1,-1,0.000E+00,2.702E-44,4.191E-43
13.61,1,-1,0.000E+00,2.947E-44,5.289E-43
14.02,2,-1,0.000E+00,1.287E-44,2.357E-43
14.29,1,-1,0.000E+00,1.451E-43,3.011E-42
14.45,1,-1,0.000E+00,1.130E-42,2.328E-41
15.06,1,1,0.000E+00,1.732E-44,1.247E-43
15.07,1,-1,0.000E+00,1.475E-44,3.201E-43
15.34,1,-1,0.000E+00,1.166E-44,2.600E-43
15.90,1,-1,0.000E+00,1.083E-44,2.537E-43
16.18,1,1,0.000E+00,1.225E-44,1.309E-43
16.79,1,1,0.000E+00,2.947E-44,2.632E-43
16.85,1,-1,0.000E+00,8.148E-45,2.445E-43
18.08,1,1,0.000E+00,8.775E-45,1.262E-43
